UUID,Concat,Concat_Tokenized
241300b2-39d6-4a2f-9178-80ddd2864279,École secondaire Franco-Jeunesse901 Rapides parkway School,"[""École"", ""secondaire"", ""Franco-Jeunesse"", ""901"", ""Rapides"", ""parkway"", ""School""]"
c210ef5d-9fcc-41e0-b0bf-2098ec118644,"École secondaire Gabriel-Dumont2463, boulevard Evans School","[""École"", ""secondaire"", ""Gabriel-Dumont"", ""2463"", """", ""boulevard"", ""Evans"", ""School""]"
31fb915c-0c45-47b9-b90c-90b15d21a44d,"École secondaire Gaétan-Gervais1075, McCraney East St. School","[""École"", ""secondaire"", ""Gaétan-Gervais"", ""1075"", """", ""McCraney"", ""East"", ""St."", ""School""]"
a022ed6c-eb72-4838-8284-fa1badbc0033,"École secondaire Le Caron22, John Street School","[""École"", ""secondaire"", ""Le"", ""Caron"", ""22"", """", ""John"", ""Street"", ""School""]"
0b6e481c-14ec-45e6-b26c-8aaa73c3a79b,École secondaire Norval-Morrisseau51 Wright St School,"[""École"", ""secondaire"", ""Norval-Morrisseau"", ""51"", ""Wright"", ""St"", ""School""]"
5638bf5f-b97a-450b-94df-ff2c3f574715,École secondaire Roméo Dallaire736 Essa Road School,"[""École"", ""secondaire"", ""Roméo"", ""Dallaire"", ""736"", ""Essa"", ""Road"", ""School""]"
1181f256-c622-42d9-b1c9-c5cb5ae219fa,École élémentaire Pavillon de la jeunesse105 High Street School,"[""École"", ""élémentaire"", ""Pavillon"", ""de"", ""la"", ""jeunesse"", ""105"", ""High"", ""Street"", ""School""]"
0a993ab6-51c6-4516-9f31-08aedbf124ba,École élémentaire Pierre-Elliott-Trudeau65 Grace Street School,"[""École"", ""élémentaire"", ""Pierre-Elliott-Trudeau"", ""65"", ""Grace"", ""Street"", ""School""]"
9e1964a5-7209-4df1-9b47-a49c77803382,"École élémentaire Renaissance1226, ch. Lockhart School","[""École"", ""élémentaire"", ""Renaissance"", ""1226"", """", ""ch."", ""Lockhart"", ""School""]"
d7e4f46e-f098-461e-b745-cc8a4289d057,École Ronald-Marion2265 Brock road School,"[""École"", ""Ronald-Marion"", ""2265"", ""Brock"", ""road"", ""School""]"
96c4771b-4d55-436b-8321-909e8f024475,"École secondaire David-Saint-Jacques80, Burlington  Dr School","[""École"", ""secondaire"", ""David-Saint-Jacques"", ""80"", """", ""Burlington"", ""Dr"", ""School""]"
4ee8a6b8-9780-4469-8725-6a069b9c2ae2,"École secondaire Étienne-Brûlé300, chemin Banbury School","[""École"", ""secondaire"", ""Étienne-Brûlé"", ""300"", """", ""chemin"", ""Banbury"", ""School""]"
84a06a77-162c-451c-a3b7-2dcdd94415a4,"École secondaire Georges-P.-Vanier101, rue Macklin nord School","[""École"", ""secondaire"", ""Georges-P.-Vanier"", ""101"", """", ""rue"", ""Macklin"", ""nord"", ""School""]"
409a504f-b5ec-486e-9ae4-6203e3544152,École secondaire Jeunes sans frontières7585 Financial Drive School,"[""École"", ""secondaire"", ""Jeunes"", ""sans"", ""frontières"", ""7585"", ""Financial"", ""Drive"", ""School""]"
0c0c4f80-8fe9-4b05-a65d-d58b5a40916a,École secondaire Lamothe-Cadillac1775 Totten Street School,"[""École"", ""secondaire"", ""Lamothe-Cadillac"", ""1775"", ""Totten"", ""Street"", ""School""]"
cb9ce19c-3e66-44e1-a65c-3dd7bdeddfc8,École secondaire Toronto Est24 Mountjoy  Ave Other,"[""École"", ""secondaire"", ""Toronto"", ""Est"", ""24"", ""Mountjoy"", ""Ave"", ""Other""]"
729b8c8b-51ad-4aa1-84a2-72a603c2e298,"École secondaire Toronto Ouest330, avenue Lansdowne School","[""École"", ""secondaire"", ""Toronto"", ""Ouest"", ""330"", """", ""avenue"", ""Lansdowne"", ""School""]"
9f2271f0-9064-4d7b-ab56-fe7f35ee7791,Alternative Pathways Centre (formerly Briardale PS)1A Caroline St School,"[""Alternative"", ""Pathways"", ""Centre"", """", ""formerly"", ""Briardale"", ""PS"", """", ""1"", ""A"", ""Caroline"", ""St"", ""School""]"
7986fd78-f607-4e45-a445-d8c221df6693,Applewood PS130 Woodrow St School,"[""Applewood"", ""PS"", ""130"", ""Woodrow"", ""St"", ""School""]"
